"year_of_release","average_runtime"
"1913","69.6"
"1914","64.9"
"1915","60.9"
"1916","62.8"
"1917","61.4"
"1918","62.4"
"1919","69.2"
"1920","70.4"
"1921","70.1"
"1922","71.4"
"1923","74.8"
"1924","74.9"
"1925","75.8"
"1926","74.8"
"1927","75.8"
"1928","78.8"
"1929","80.3"
"1930","78.2"
"1931","77.9"
"1932","76.8"
"1933","77.5"
"1934","79.4"
"1935","78.3"
"1936","79.2"
"1937","80.3"
"1938","82.1"
"1939","82.5"
"1940","83.6"
"1941","83.9"
"1942","83.6"
"1943","83.8"
"1944","84.9"
"1945","86.4"
"1946","86.2"
"1947","87.4"
"1948","86.5"
"1949","87.9"
"1950","88.3"
"1951","88.8"
"1952","90.6"
"1953","90.8"
"1954","92.3"
"1955","92.5"
"1956","91.3"
"1957","91.0"
"1958","91.4"
"1959","92.4"
"1960","92.8"
"1961","92.0"
"1962","93.1"
"1963","93.8"
"1964","94.4"
"1965","94.4"
"1966","93.6"
"1967","94.2"
"1968","93.4"
"1969","93.5"
"1970","92.4"
"1971","92.6"
"1972","91.6"
"1973","93.2"
"1974","93.6"
"1975","93.9"
"1976","93.9"
"1977","95.0"
"1978","101.4"
"1979","96.9"
"1980","96.6"
"1981","95.6"
"1982","96.2"
"1983","94.4"
"1984","95.7"
"1985","96.5"
"1986","94.5"
"1987","94.4"
"1988","94.6"
"1989","95.0"
"1990","95.0"
"1991","94.6"
"1992","95.5"
"1993","95.2"
"1994","93.5"
"1995","94.6"
"1996","94.3"
"1997","95.6"
"1998","93.7"
"1999","93.7"
"2000","94.3"
"2001","94.0"
"2002","94.0"
"2003","93.8"
"2004","96.5"
"2005","93.6"
"2006","93.7"
"2007","93.5"
"2008","93.1"
"2009","92.6"
"2010","92.6"
"2011","94.0"
"2012","92.0"
"2013","91.7"
"2014","92.0"
"2015","91.9"
"2016","91.7"
"2017","92.2"
"2018","91.8"
"2019","91.0"
"2020","89.3"
"2021","89.6"
"2022","92.0"
"2023","92.5"
"2024","94.0"
"2025","95.6"
