"year_of_release","budget","revenue","roi"
"1911","500","1","-100"
"1913","5700","1800000","31479"
"1914","22329","1729009","7643"
"1915","38723","2835507","7222"
"1916","201494","3284256","1530"
"1918","84333","3467667","4012"
"1919","24000","2233843","9208"
"1920","23600","1541802","6433"
"1921","270684","1700969","528"
"1922","425000","187085","-56"
"1923","60500","1067000","1664"
"1924","388037","776343","100"
"1925","414963","2773802","568"
"1926","553065","1083697","96"
"1927","779315","1330782","71"
"1928","314755","1804248","473"
"1929","417583","2582553","518"
"1930","627676","2952793","370"
"1931","517000","2180752","322"
"1932","452744","1405923","211"
"1933","454630","2446322","438"
"1934","441890","1407784","219"
"1935","503233","2965340","489"
"1936","840377","2030700","142"
"1937","972895","1917515","97"
"1938","1322409","15640057","1083"
"1939","1974911","33415434","1592"
"1940","1095654","14727254","1244"
"1941","570771","3827224","571"
"1942","611230","13162406","2053"
"1943","1284707","4265356","232"
"1944","1145254","21982627","1819"
"1945","1049833","4516112","330"
"1946","1401846","8260622","489"
"1947","1498630","2805403","87"
"1948","1797509","3076850","71"
"1949","1243000","2816613","127"
"1950","1050423","16110186","1434"
"1951","1358743","5279314","289"
"1952","1129272","5090730","351"
"1953","1202275","8837910","635"
"1954","1500795","9109099","507"
"1955","1196742","4056325","239"
"1956","1690349","9675399","472"
"1957","1283589","10556463","722"
"1958","976854","4008763","310"
"1959","1739404","10123018","482"
"1960","1733995","8416750","385"
"1961","1495393","12828027","758"
"1962","3770811","13285934","252"
"1963","3648661","15994564","338"
"1964","2055783","13329007","548"
"1965","2041049","15013418","636"
"1966","2532045","8744848","245"
"1967","2414819","22051521","813"
"1968","2668784","11777916","341"
"1969","2557802","14429467","464"
"1970","4760740","17587214","269"
"1971","2040498","14515635","611"
"1972","1710484","22650976","1224"
"1973","2027418","33202579","1538"
"1974","1841286","19672886","968"
"1975","2444442","23517116","862"
"1976","3195712","23856381","647"
"1977","4458203","43012237","865"
"1978","4338817","28727517","562"
"1979","5674977","28628749","404"
"1980","5887672","25201795","328"
"1981","6397014","21217428","232"
"1982","5781097","23460346","306"
"1983","5862851","23156657","295"
"1984","6888044","23077774","235"
"1985","7099951","25337527","257"
"1986","6949243","20042418","188"
"1987","6215262","20520230","230"
"1988","6726512","22716111","238"
"1989","8874352","30463661","243"
"1990","10568641","37434126","254"
"1991","10372652","28832925","178"
"1992","11222280","36281918","223"
"1993","11182114","33658118","201"
"1994","14104752","41340785","193"
"1995","15980457","42966910","169"
"1996","18346412","42442166","131"
"1997","21026761","52510523","150"
"1998","19096147","43934371","130"
"1999","22679724","48352879","113"
"2000","20185178","43645886","116"
"2001","21065397","49323380","134"
"2002","18427841","47228625","156"
"2003","18219768","48366466","165"
"2004","18449176","46680723","153"
"2005","16915280","40167919","137"
"2006","15820953","38358142","142"
"2007","15176214","39687452","162"
"2008","16595246","43118254","160"
"2009","15692017","44482043","183"
"2010","16104907","43385298","169"
"2011","14884933","42262582","184"
"2012","13374393","41955586","214"
"2013","15096189","46706688","209"
"2014","13007070","44146426","239"
"2015","13537175","48474796","258"
"2016","14509364","45807976","216"
"2017","12174166","45075406","270"
"2018","12353560","47521743","285"
"2019","12305455","47035662","282"
"2020","7274517","14008853","93"
"2021","12584761","29825328","137"
"2022","10136426","31158254","207"
"2023","10760625","27684428","157"
"2024","7632743","23923166","213"
"2025","10960417","27941367","155"
