"decade","Action","Adventure","Animation","Comedy","Crime","Documentary","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science Fiction","Thriller","War","Western"
"1900s","1,22","1,22","0,1","6,71","2,24","64,6","14,45","0,41","1,83","2,14","0,41","0","0,2","1,63","0,41","0,51","0,2","1,73"
"1910s","1,13","2,93","0,08","20,39","3,34","2,75","43,96","0,21","1,04","1,87","1,22","0,1","1,57","6,1","0,43","1,8","2","9,07"
"1920s","3,05","4,64","0,06","21,25","4,13","5,18","35,82","0,54","0,82","1,86","1,21","0,74","1,93","9,72","0,36","0,74","1,22","6,73"
"1930s","3,13","3,33","0,6","23,81","6,38","5,71","25,38","0,93","0,56","1,99","1,04","5,73","2,92","10,36","0,42","1,33","1,51","4,88"
"1940s","2,78","3,16","0,82","18,64","5,54","8,25","24,71","1,28","1,07","1,99","1,32","5,78","3,29","8,28","0,44","2,78","3,9","5,95"
"1950s","2,81","4,04","0,71","16,73","6,17","9,21","29,27","2,1","1,29","2,37","1,7","4,34","1,68","7,49","1,14","2,95","2,63","3,36"
"1960s","4,84","4,38","0,64","15,78","5,97","10,56","28,16","2,59","1,72","2,26","2,63","3,54","1,69","6,01","1,42","3,06","2,63","2,12"
"1970s","6,24","3,75","1,08","14,54","5,43","11,69","28,28","3,57","2,02","1,93","3,9","2,58","1,85","4,82","1,43","3,82","1,73","1,36"
"1980s","6,64","3,14","2,1","14,59","4,41","10,55","27,31","3,93","2,76","1,8","4,51","3,03","1,77","5,22","2,32","4,09","1,5","0,34"
"1990s","7,47","2,54","2,23","13,88","5,35","13,06","23,88","3,46","2,59","1,42","4,15","2,6","1,76","5,97","2,39","6,08","0,83","0,34"
"2000s","5,29","2,3","2,05","13,95","3,68","18,85","22,06","2,99","2,06","1,3","5,29","3,33","1,97","6,41","2","5,56","0,72","0,21"
"2010s","4,32","2,06","1,74","13,03","3,07","22,74","21,93","2,59","2,16","1,46","5,63","2,61","2,13","5,55","2,27","5,8","0,66","0,24"
"2020s","3,73","1,8","1,58","12,6","3,22","24,04","21,13","2,15","2,37","1,3","6,24","2,75","2,56","4,72","2,32","6,66","0,52","0,3"
