"director","films_directed"
"D.W. Griffith","332"
"Alexandre Promio","306"
"Kevin Dunn","301"
"Gilbert M. Anderson","273"
"Louis Lumière","223"
"Sam Newfield","208"
"William Beaudine","199"
"Laurent Bouzereau","196"
"David DeCoteau","171"
"Vince McMahon","171"
"Jesús Franco","170"
"Jules White","166"
"Auguste Lumière","162"
"Fred Olen Ray","154"
"Allan Dwan","150"
"Lambert Hillyer","148"
"Del Lord","145"
"Gérard Courant","142"
"Eckhart Schmidt","141"
"Richard Thorpe","138"
"Lesley Selander","135"
"Charles Lamont","135"
"John Ford","135"
"Lew Landers","133"
"Brian Large","128"
"Christy Cabanne","127"
"Michael Curtiz","126"
"Ray Taylor","126"
"Mack Sennett","125"
"Kostas Karagiannis","123"
"J.P. McGowan","119"
"Maurice Elvey","118"
"Jr.","118"
"Phil Rosen","118"
"Joseph Kane","117"
"Wong Jing","117"
"Hal Roach","117"
"Edward L. Cahn","114"
"Edward F. Cline","114"
"James H. White","114"
"Gary Halvorson","112"
"Robert F. McGowan","112"
"Frank McDonald","111"
"Jonas Mekas","111"
"George Sherman","110"
"Osman F. Seden","110"
"Gary Whitson","110"
"Jean-Luc Godard","109"
"Lloyd Bacon","108"
"Takashi Miike","108"
"Raoul Walsh","108"
"Carl Boese","106"
"Michael James","106"
"Norman Taurog","106"
"Joel Lamangan","105"
"William A. Seiter","105"
"Dustin Ferguson","105"
"George Archainbaud","103"
"Jim Wynorski","103"
"George Marshall","102"
"Spencer Gordon Bennet","101"
"Howard Bretherton","98"
"Alfred J. Goulding","98"
"Lewis D. Collins","97"
"Roscoe 'Fatty' Arbuckle","97"
"Alfred E. Green","96"
"Atıf Yılmaz","96"
"William Nigh","95"
"Gordon Douglas","95"
"Enrique Carreras","94"
"William Witney","94"
"Gilberto Martínez Solares","94"
"Roy Del Ruth","94"
"Niazi Mostafa","94"
"Pierre Sabbagh","93"
"Im Kwon-taek","93"
"Chang Cheh","93"
"Martin Frič","92"
"Miguel M. Delgado","92"
"Hiroyuki Tsuji","91"
"Mariano Ozores","91"
"Albert S. Rogell","90"
"Michael Blackwood","90"
"Robert Z. Leonard","90"
"Alfredo B. Crevenna","90"
"Sachi Hamano","89"
"Leo McCarey","89"
"Pedro Lazaga Sabater","89"
"B. Reeves Eason","88"
"James W. Horne","88"
"Roy William Neill","88"
"Ralph Ince","87"
"Chor Yuen","87"
"Henry King","87"
"Yoji Yamada","86"
"Frank Borzage","86"
"George B. Seitz","86"
"Edward Bernds","85"
"Giannis Dalianidis","85"
"Karel Lamač","85"
