"year_of_release","average_runtime"
"2025","95.6"
"2024","94.0"
"2023","92.5"
"2022","92.0"
"2021","89.6"
"2020","89.3"
"2019","91.0"
"2018","91.8"
"2017","92.2"
"2016","91.7"
"2015","91.9"
"2014","92.0"
"2013","91.7"
"2012","92.0"
"2011","94.0"
"2010","92.6"
"2009","92.6"
"2008","93.1"
"2007","93.5"
"2006","93.7"
"2005","93.6"
"2004","96.5"
"2003","93.8"
"2002","94.0"
"2001","94.0"
"2000","94.3"
"1999","93.7"
"1998","93.7"
"1997","95.6"
"1996","94.3"
"1995","94.6"
"1994","93.5"
"1993","95.2"
"1992","95.5"
"1991","94.6"
"1990","95.0"
"1989","95.0"
"1988","94.6"
"1987","94.4"
"1986","94.5"
"1985","96.5"
"1984","95.7"
"1983","94.4"
"1982","96.2"
"1981","95.6"
"1980","96.6"
"1979","96.9"
"1978","101.4"
"1977","95.0"
"1976","93.9"
"1975","93.9"
"1974","93.6"
"1973","93.2"
"1972","91.6"
"1971","92.6"
"1970","92.4"
"1969","93.5"
"1968","93.4"
"1967","94.2"
"1966","93.6"
"1965","94.4"
"1964","94.4"
"1963","93.8"
"1962","93.1"
"1961","92.0"
"1960","92.8"
"1959","92.4"
"1958","91.4"
"1957","91.0"
"1956","91.3"
"1955","92.5"
"1954","92.3"
"1953","90.8"
"1952","90.6"
"1951","88.8"
"1950","88.3"
"1949","87.9"
"1948","86.5"
"1947","87.4"
"1946","86.2"
"1945","86.4"
"1944","84.9"
"1943","83.8"
"1942","83.6"
"1941","83.9"
"1940","83.6"
"1939","82.5"
"1938","82.1"
"1937","80.3"
"1936","79.2"
"1935","78.3"
"1934","79.4"
"1933","77.5"
"1932","76.8"
"1931","77.9"
"1930","78.2"
"1929","80.3"
"1928","78.8"
"1927","75.8"
"1926","74.8"
"1925","75.8"
"1924","74.9"
"1923","74.8"
"1922","71.4"
"1921","70.1"
"1920","70.4"
"1919","69.2"
"1918","62.4"
"1917","61.4"
"1916","62.8"
"1915","60.9"
"1914","64.9"
"1913","69.6"
