"combination","total"
"Action, Adventure, Animation","106"
"Action, Adventure, Comedy","391"
"Action, Adventure, Crime","178"
"Action, Adventure, Documentary","28"
"Action, Adventure, Drama","485"
"Action, Adventure, Family","59"
"Action, Adventure, Fantasy","344"
"Action, Adventure, History","69"
"Action, Adventure, Horror","70"
"Action, Adventure, Music","4"
"Action, Adventure, Mystery","36"
"Action, Adventure, Romance","81"
"Action, Adventure, Science Fiction","538"
"Action, Adventure, Thriller","267"
"Action, Adventure, TV Movie","39"
"Action, Adventure, War","70"
"Action, Adventure, Western","104"
"Action, Animation, Comedy","95"
"Action, Animation, Crime","9"
"Action, Animation, Documentary","1"
"Action, Animation, Drama","29"
"Action, Animation, Family","15"
"Action, Animation, Fantasy","78"
"Action, Animation, History","4"
"Action, Animation, Horror","10"
"Action, Animation, Music","2"
"Action, Animation, Mystery","2"
"Action, Animation, Romance","7"
"Action, Animation, Science Fiction","223"
"Action, Animation, Thriller","10"
"Action, Animation, TV Movie","3"
"Action, Animation, War","1"
"Action, Animation, Western","1"
"Action, Comedy, Crime","580"
"Action, Comedy, Documentary","27"
"Action, Comedy, Drama","452"
"Action, Comedy, Family","66"
"Action, Comedy, Fantasy","133"
"Action, Comedy, History","11"
"Action, Comedy, Horror","230"
"Action, Comedy, Music","36"
"Action, Comedy, Mystery","34"
"Action, Comedy, Romance","274"
"Action, Comedy, Science Fiction","196"
"Action, Comedy, Thriller","164"
"Action, Comedy, TV Movie","34"
"Action, Comedy, War","20"
"Action, Comedy, Western","53"
"Action, Crime, Documentary","2"
"Action, Crime, Drama","1457"
"Action, Crime, Family","1"
"Action, Crime, Fantasy","13"
"Action, Crime, History","8"
"Action, Crime, Horror","38"
"Action, Crime, Music","8"
"Action, Crime, Mystery","62"
"Action, Crime, Romance","64"
"Action, Crime, Science Fiction","43"
"Action, Crime, Thriller","1144"
"Action, Crime, TV Movie","28"
"Action, Crime, War","11"
"Action, Crime, Western","20"
"Action, Documentary, Drama","14"
"Action, Documentary, History","1"
"Action, Documentary, Horror","3"
"Action, Documentary, Music","5"
"Action, Documentary, Science Fiction","8"
"Action, Documentary, Thriller","2"
"Action, Documentary, TV Movie","2"
"Action, Documentary, War","3"
"Action, Drama, Family","95"
"Action, Drama, Fantasy","117"
"Action, Drama, History","283"
"Action, Drama, Horror","78"
"Action, Drama, Music","44"
"Action, Drama, Mystery","62"
"Action, Drama, Romance","452"
"Action, Drama, Science Fiction","131"
"Action, Drama, Thriller","845"
"Action, Drama, TV Movie","132"
"Action, Drama, War","349"
"Action, Drama, Western","102"
"Action, Family, Fantasy","7"
"Action, Family, History","1"
"Action, Family, Horror","2"
"Action, Family, Music","2"
"Action, Family, Mystery","1"
"Action, Family, Romance","13"
"Action, Family, Science Fiction","10"
"Action, Family, Thriller","11"
"Action, Family, TV Movie","1"
"Action, Family, Western","1"
"Action, Fantasy, History","8"
"Action, Fantasy, Horror","131"
"Action, Fantasy, Music","1"
"Action, Fantasy, Mystery","17"
"Action, Fantasy, Romance","25"
"Action, Fantasy, Science Fiction","85"
"Action, Fantasy, Thriller","33"
