"decade","genre","movie_count","percentage_per_decade"
"190","Action","12","1.22"
"191","Action","107","1.13"
"192","Action","387","3.05"
"193","Action","640","3.13"
"194","Action","532","2.78"
"195","Action","770","2.81"
"196","Action","1888","4.84"
"197","Action","3129","6.24"
"198","Action","3931","6.64"
"199","Action","4981","7.47"
"200","Action","5573","5.29"
"201","Action","8759","4.32"
"202","Action","6890","3.73"
"190","Adventure","12","1.22"
"191","Adventure","277","2.93"
"192","Adventure","589","4.64"
"193","Adventure","680","3.33"
"194","Adventure","604","3.16"
"195","Adventure","1106","4.04"
"196","Adventure","1706","4.38"
"197","Adventure","1881","3.75"
"198","Adventure","1857","3.14"
"199","Adventure","1696","2.54"
"200","Adventure","2424","2.30"
"201","Adventure","4183","2.06"
"202","Adventure","3322","1.80"
"190","Animation","1","0.10"
"191","Animation","8","0.08"
"192","Animation","7","0.06"
"193","Animation","122","0.60"
"194","Animation","157","0.82"
"195","Animation","194","0.71"
"196","Animation","250","0.64"
"197","Animation","541","1.08"
"198","Animation","1241","2.10"
"199","Animation","1489","2.23"
"200","Animation","2156","2.05"
"201","Animation","3533","1.74"
"202","Animation","2910","1.58"
"190","Comedy","66","6.71"
"191","Comedy","1926","20.39"
"192","Comedy","2698","21.25"
"193","Comedy","4869","23.81"
"194","Comedy","3561","18.64"
"195","Comedy","4581","16.73"
"196","Comedy","6153","15.78"
"197","Comedy","7289","14.54"
"198","Comedy","8637","14.59"
"199","Comedy","9254","13.88"
"200","Comedy","14685","13.95"
"201","Comedy","26408","13.03"
"202","Comedy","23251","12.60"
"190","Crime","22","2.24"
"191","Crime","315","3.34"
"192","Crime","525","4.13"
"193","Crime","1305","6.38"
"194","Crime","1059","5.54"
"195","Crime","1689","6.17"
"196","Crime","2329","5.97"
"197","Crime","2720","5.43"
"198","Crime","2614","4.41"
"199","Crime","3569","5.35"
"200","Crime","3870","3.68"
"201","Crime","6222","3.07"
"202","Crime","5938","3.22"
"190","Documentary","635","64.60"
"191","Documentary","260","2.75"
"192","Documentary","658","5.18"
"193","Documentary","1168","5.71"
