"film","tmdb_score","imdb_score","rating_difference","2010_or_after"
"365 Days (2020)","7","3.3","3.70","True"
"Snow White (2025)","4.3","1.8","2.50","True"
"Five Nights at Freddy's (2023)","7.455","5.4","2.06","True"
"Fifty Shades Darker (2017)","6.484","4.6","1.88","True"
"F9 (2021)","7","5.2","1.80","True"
"Fifty Shades of Grey (2015)","5.886","4.2","1.69","True"
"Epic Movie (2007)","3.9","2.4","1.50","False"
"Ghostbusters (2016)","5.348","6.8","1.45","True"
"Fast X (2023)","7.039","5.7","1.34","True"
"Meet the Spartans (2008)","4.1","2.8","1.30","False"
"Godzilla vs. Kong (2021)","7.6","6.3","1.30","True"
"The Twilight Saga: Breaking Dawn - Part 1 (2011)","6.196","4.9","1.30","True"
"Madame Web (2024)","5.346","4.1","1.25","True"
"Transformers: Rise of the Beasts (2023)","7.234","6","1.23","True"
"Catwoman (2004)","4.6","3.4","1.20","False"
"The Twilight Saga: New Moon (2009)","5.991","4.8","1.19","False"
"The Twilight Saga: Eclipse (2010)","6.203","5.1","1.10","True"
"Godzilla x Kong: The New Empire (2024)","7.1","6","1.10","True"
"The Conjuring: The Devil Made Me Do It (2021)","7.4","6.3","1.10","True"
"Moonfall (2022)","6.286","5.2","1.09","True"
"Mulan (2020)","6.861","5.8","1.06","True"
"Jurassic World Dominion (2022)","6.66","5.6","1.06","True"
"White Chicks (2004)","6.929","5.9","1.03","False"
"Wonder Woman 1984 (2020)","6.408","5.4","1.01","True"
"The Gorge (2025)","7.709","6.7","1.01","True"
