"year_of_release","movie_count"
"1890","6"
"1891","13"
"1892","3"
"1893","2"
"1894","20"
"1895","36"
"1896","338"
"1897","322"
"1898","134"
"1899","112"
"1900","115"
"1901","80"
"1902","40"
"1903","95"
"1904","68"
"1905","75"
"1906","78"
"1907","49"
"1908","124"
"1909","165"
"1910","214"
"1911","299"
"1912","538"
"1913","716"
"1914","838"
"1915","990"
"1916","1037"
"1917","953"
"1918","824"
"1919","857"
"1920","861"
"1921","795"
"1922","782"
"1923","748"
"1924","825"
"1925","892"
"1926","997"
"1927","1045"
"1928","1068"
"1929","1090"
"1930","1149"
"1931","1159"
"1932","1245"
"1933","1244"
"1934","1272"
"1935","1400"
"1936","1407"
"1937","1489"
"1938","1417"
"1939","1405"
"1940","1322"
"1941","1241"
"1942","1255"
"1943","1164"
"1944","984"
"1945","991"
"1946","1056"
"1947","1138"
"1948","1234"
"1949","1418"
"1950","1528"
"1951","1603"
"1952","1587"
"1953","1701"
"1954","1696"
"1955","1781"
"1956","1837"
"1957","2001"
"1958","2047"
"1959","2045"
"1960","2150"
"1961","2248"
"1962","2195"
"1963","2220"
"1964","2471"
"1965","2526"
"1966","2657"
"1967","2843"
"1968","3002"
"1969","3084"
"1970","3131"
"1971","3154"
"1972","3315"
"1973","3288"
"1974","3327"
"1975","3254"
"1976","3172"
"1977","3115"
"1978","3341"
"1979","3444"
"1980","3411"
"1981","3396"
"1982","3523"
"1983","3546"
"1984","3581"
"1985","3643"
"1986","3833"
"1987","4036"
"1988","4092"
"1989","4174"
"1990","3977"
"1991","3941"
"1992","3860"
"1993","3862"
"1994","3912"
"1995","3986"
"1996","4008"
"1997","4277"
"1998","4313"
"1999","4626"
"2000","4656"
"2001","5009"
"2002","5367"
"2003","5674"
"2004","6103"
"2005","6721"
"2006","7450"
"2007","7827"
"2008","8308"
"2009","8794"
"2010","8910"
"2011","9592"
"2012","10584"
"2013","11649"
"2014","12544"
"2015","13379"
"2016","14199"
"2017","15868"
"2018","16965"
"2019","18789"
"2020","17086"
"2021","18915"
"2022","21152"
"2023","24874"
"2024","26930"
