"year_of_release","movie_count","yearly_growth"
"1890","6","0 %"
"1891","13","117 %"
"1892","3","-77 %"
"1893","2","-33 %"
"1894","20","900 %"
"1895","36","80 %"
"1896","338","839 %"
"1897","322","-5 %"
"1898","134","-58 %"
"1899","112","-16 %"
"1900","115","3 %"
"1901","80","-30 %"
"1902","40","-50 %"
"1903","95","138 %"
"1904","68","-28 %"
"1905","75","10 %"
"1906","78","4 %"
"1907","49","-37 %"
"1908","124","153 %"
"1909","165","33 %"
"1910","214","30 %"
"1911","299","40 %"
"1912","538","80 %"
"1913","716","33 %"
"1914","838","17 %"
"1915","990","18 %"
"1916","1037","5 %"
"1917","953","-8 %"
"1918","824","-14 %"
"1919","857","4 %"
"1920","861","0 %"
"1921","795","-8 %"
"1922","782","-2 %"
"1923","748","-4 %"
"1924","825","10 %"
"1925","892","8 %"
"1926","997","12 %"
"1927","1045","5 %"
"1928","1068","2 %"
"1929","1090","2 %"
"1930","1149","5 %"
"1931","1159","1 %"
"1932","1245","7 %"
"1933","1244","0 %"
"1934","1272","2 %"
"1935","1400","10 %"
"1936","1407","0 %"
"1937","1489","6 %"
"1938","1417","-5 %"
"1939","1405","-1 %"
"1940","1322","-6 %"
"1941","1241","-6 %"
"1942","1255","1 %"
"1943","1164","-7 %"
"1944","984","-15 %"
"1945","991","1 %"
"1946","1056","7 %"
"1947","1138","8 %"
"1948","1234","8 %"
"1949","1418","15 %"
"1950","1528","8 %"
"1951","1603","5 %"
"1952","1587","-1 %"
"1953","1701","7 %"
"1954","1696","0 %"
"1955","1781","5 %"
"1956","1837","3 %"
"1957","2001","9 %"
"1958","2047","2 %"
"1959","2045","0 %"
"1960","2150","5 %"
"1961","2248","5 %"
"1962","2195","-2 %"
"1963","2220","1 %"
"1964","2471","11 %"
"1965","2526","2 %"
"1966","2657","5 %"
"1967","2843","7 %"
"1968","3002","6 %"
"1969","3084","3 %"
"1970","3131","2 %"
"1971","3154","1 %"
"1972","3315","5 %"
"1973","3288","-1 %"
"1974","3327","1 %"
"1975","3254","-2 %"
"1976","3172","-3 %"
"1977","3115","-2 %"
"1978","3341","7 %"
"1979","3444","3 %"
"1980","3411","-1 %"
"1981","3396","0 %"
"1982","3523","4 %"
"1983","3546","1 %"
"1984","3581","1 %"
"1985","3643","2 %"
"1986","3833","5 %"
"1987","4036","5 %"
"1988","4092","1 %"
"1989","4174","2 %"
"1990","3977","-5 %"
"1991","3941","-1 %"
"1992","3860","-2 %"
"1993","3862","0 %"
"1994","3912","1 %"
"1995","3986","2 %"
"1996","4008","1 %"
"1997","4277","7 %"
"1998","4313","1 %"
"1999","4626","7 %"
"2000","4656","1 %"
"2001","5009","8 %"
"2002","5367","7 %"
"2003","5674","6 %"
"2004","6103","8 %"
"2005","6721","10 %"
"2006","7450","11 %"
"2007","7827","5 %"
"2008","8308","6 %"
"2009","8794","6 %"
"2010","8910","1 %"
"2011","9592","8 %"
"2012","10584","10 %"
"2013","11649","10 %"
"2014","12544","8 %"
"2015","13379","7 %"
"2016","14199","6 %"
"2017","15868","12 %"
"2018","16965","7 %"
"2019","18789","11 %"
"2020","17086","-9 %"
"2021","18915","11 %"
"2022","21152","12 %"
"2023","24874","18 %"
"2024","26930","8 %"
